DATE,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN
4/1/2001,,,,46,56,35
4/2/2001,,,,52,59,45
4/3/2001,0.01,,,58,66,50
4/4/2001,0,,,62,71,53
4/5/2001,0,,,63,75,51
4/6/2001,0,,,73,82,63
4/7/2001,0,,,78,85,70
4/8/2001,0,,,75,83,67
4/9/2001,0,,,75,84,65
4/10/2001,0,,,75,86,63
4/11/2001,0,,,76,85,66
4/12/2001,0,,,69,78,59
4/13/2001,0,,,65,74,56
4/14/2001,0,,,61,74,48
4/15/2001,0,,,62,73,51
4/16/2001,,,,54,62,45
4/17/2001,,,,42,49,34
4/18/2001,,,,45,59,30
4/19/2001,,,,52,70,34
4/20/2001,0,,,62,69,55
4/21/2001,0,,,71,77,64
4/22/2001,0,,,71,82,60
4/23/2001,0,,,68,81,55
4/24/2001,,,,55,64,45
4/25/2001,,,,52,65,39
4/26/2001,0,,,56,73,39
4/27/2001,0,,,65,83,46
4/28/2001,0,,,66,79,52
4/29/2001,0,,,64,80,48
4/30/2001,0,,,67,81,53
5/1/2001,0,,,68,78,58
5/2/2001,0,,,68,80,55
5/3/2001,0,,,67,82,52
5/4/2001,0,,,68,83,52
5/5/2001,0,,,70,83,56
5/6/2001,0,,,71,83,58
5/7/2001,0.55,,,68,80,56
5/8/2001,0.03,,,67,76,57
5/9/2001,0.04,,,67,78,56
5/10/2001,0.01,,,68,80,55
5/11/2001,0.31,,,73,83,62
5/12/2001,0,,,64,75,52
5/13/2001,0,,,61,75,47
5/14/2001,0,,,68,81,55
5/15/2001,0,,,73,86,59
5/16/2001,0,,,75,87,63
5/17/2001,0,,,76,87,65
5/18/2001,0,,,78,87,68
5/19/2001,0.03,,,74,80,68
5/20/2001,0.57,,,73,81,65
5/21/2001,1.51,,,68,77,58
5/22/2001,0.05,,,60,69,50
5/23/2001,0.14,,,61,71,51
5/24/2001,0.01,,,60,68,51
5/25/2001,0,,,58,69,47
5/26/2001,0,,,64,75,53
5/27/2001,0,,,69,81,57
5/28/2001,0,,,68,77,58
5/29/2001,0,,,66,79,53
5/30/2001,0,,,65,76,54
5/31/2001,1.58,,,70,77,63
6/1/2001,0.08,,,62,69,55
6/2/2001,0.15,,,65,77,53
6/3/2001,0.67,,,58,64,52
6/4/2001,0,,,73,87,58
6/5/2001,0,,,75,86,64
6/6/2001,0.1,,,74,82,66
6/7/2001,0.08,,,74,80,68
6/8/2001,0,,,73,83,62
6/9/2001,0,,,72,83,60
6/10/2001,0,,,70,84,55
6/11/2001,0,,,73,87,59
6/12/2001,0,,,76,89,62
6/13/2001,0,,,,,
6/14/2001,0,,,80,90,69
6/15/2001,0.38,,,77,87,66
6/16/2001,0.01,,,73,86,60
6/17/2001,0,,,77,92,61
6/18/2001,0,,,77,92,62
6/19/2001,0,,,78,91,65
6/20/2001,0,,,78,90,65
6/21/2001,0.65,,,77,88,66
6/22/2001,0,,,69,77,61
6/23/2001,0.01,,,70,82,57
6/24/2001,0,,,70,83,57
6/25/2001,0,,,72,86,58
6/26/2001,0.14,,,72,84,59
6/27/2001,0.32,,,72,84,59
6/28/2001,0,,,71,83,59
6/29/2001,0.08,,,73,82,63
6/30/2001,0.02,,,75,85,65
7/1/2001,0.01,,,78,88,67
7/2/2001,0,,,78,86,69
7/3/2001,0,,,80,92,67
7/4/2001,0.01,,,82,92,71
7/5/2001,0.19,,,,,
7/6/2001,0,,,,,
7/7/2001,0.01,,,77,92,62
7/8/2001,0,,,86,95,77
7/9/2001,0,,,81,88,73
7/10/2001,0,,,82,94,70
7/11/2001,0.01,,,80,94,66
7/12/2001,0,,,72,82,62
7/13/2001,0,,,73,85,61
7/14/2001,0,,,72,87,56
7/15/2001,0,,,73,88,57
7/16/2001,0,,,73,87,59
7/17/2001,0,,,80,90,69
7/18/2001,0.32,,,80,90,70
7/19/2001,0.01,,,76,83,68
7/20/2001,0,,,78,85,70
7/21/2001,0,,,82,91,72
7/22/2001,0,,,81,92,69
7/23/2001,0.01,,,83,94,72
7/24/2001,0.03,,,83,92,73
7/25/2001,0,,,83,93,72
7/26/2001,0.21,,,78,83,73
7/27/2001,0,,,81,89,73
7/28/2001,0.03,,,82,89,74
7/29/2001,0.5,,,81,88,74
7/30/2001,0,,,82,93,71
7/31/2001,0,,,83,94,71
8/1/2001,0,,,81,92,70
8/2/2001,0.32,,,82,92,71
8/3/2001,0.12,,,80,89,71
8/4/2001,0,,,81,92,70
8/5/2001,0,,,82,93,70
8/6/2001,0,,,81,93,69
8/7/2001,0,,,82,91,72
8/8/2001,0.42,,,81,88,73
8/9/2001,0.01,,,80,85,74
8/10/2001,0.09,,,79,84,73
8/11/2001,0,,,78,86,70
8/12/2001,0,,,77,84,69
8/13/2001,0.01,,,79,90,68
8/14/2001,0,,,76,86,65
8/15/2001,0,,,75,88,61
8/16/2001,0,,,76,86,65
8/17/2001,0,,,74,87,60
8/18/2001,0,,,79,90,68
8/19/2001,0.53,,,73,83,62
8/20/2001,0,,,71,84,57
8/21/2001,0,,,72,87,57
8/22/2001,0,,,81,95,67
8/23/2001,0,,,84,93,75
8/24/2001,0.01,,,80,89,71
8/25/2001,0,,,82,93,70
8/26/2001,0.78,,,81,93,69
8/27/2001,0,,,77,86,68
8/28/2001,0,,,78,88,68
8/29/2001,0,,,79,88,70
8/30/2001,0.01,,,76,84,67
8/31/2001,0.58,,,74,78,70
9/1/2001,0,,,77,83,70
9/2/2001,0,,,76,83,69
9/3/2001,0.07,,,77,82,71
9/4/2001,0,,,79,88,70
9/5/2001,0,,,80,91,68
9/6/2001,0.16,,,80,91,69
9/7/2001,0.08,,,,,
9/8/2001,0.22,,,79,88,70
9/9/2001,0.33,,,74,85,63
9/10/2001,0.01,,,66,78,54
9/11/2001,0,,,68,84,51
9/12/2001,0,,,70,86,54
9/13/2001,0.01,,,72,87,57
9/14/2001,0,,,65,76,53
9/15/2001,0,,,64,77,50
9/16/2001,0,,,66,81,50
9/17/2001,0,,,70,83,56
9/18/2001,0.07,,,74,84,63
9/19/2001,0.79,,,65,73,57
9/20/2001,0.01,,,66,79,53
9/21/2001,0,,,68,80,55
9/22/2001,0.01,,,70,84,56
9/23/2001,1.12,,,70,86,54
9/24/2001,0,,,56,65,47
9/25/2001,0,,,52,63,40
9/26/2001,0,,,52,68,35
9/27/2001,0,,,58,76,40
9/28/2001,0,,,59,70,47
9/29/2001,0,,,58,72,44
9/30/2001,0,,,60,74,45
10/1/2001,0,,,61,78,43
10/2/2001,0.01,,,63,81,45
10/3/2001,0,,,64,81,47
10/4/2001,0,,,67,81,53
10/5/2001,0.76,,,64,81,47
10/6/2001,0,,,50,61,38
10/7/2001,0,,,50,66,34
10/8/2001,0,,,55,72,37
10/9/2001,0,,,59,72,46
10/10/2001,0,,,68,79,56
10/11/2001,0.91,,,66,69,62
10/12/2001,0.24,,,70,75,65
10/13/2001,3.94,,,68,73,63
10/14/2001,0.95,,,59,70,47
10/15/2001,0.25,,,56,71,41
10/16/2001,0,,,46,55,36
10/17/2001,0,,,46,58,33
10/18/2001,0,,,51,68,33
10/19/2001,0,,,56,69,42
10/20/2001,0,,,60,74,45
10/21/2001,0,,,63,78,47
10/22/2001,0.01,,,65,80,50
10/23/2001,0,,,73,81,64
10/24/2001,0.58,,,66,82,49
10/25/2001,0,,,56,66,45
10/26/2001,0,,,46,58,34
10/27/2001,0,,,40,50,29
10/28/2001,0,,,41,56,26
10/29/2001,0,,,48,65,30
10/30/2001,0,,,51,68,33
10/31/2001,0,,,54,72,35
11/1/2001,0,,,64,76,51
11/2/2001,0.48,,,69,79,59
11/3/2001,0.01,,,57,70,43
11/4/2001,0,,,54,71,37
11/5/2001,0,,,54,64,43
11/6/2001,0,,,50,66,33
11/7/2001,0,,,52,71,33
11/8/2001,0,,,54,74,33
11/9/2001,0,,,47,60,33
11/10/2001,0,,,46,65,27
11/11/2001,0.01,,,51,64,38
11/12/2001,0,,,50,62,37
11/13/2001,0,,,52,69,34
11/14/2001,0,,,56,70,41
11/15/2001,0,,,52,69,35
11/16/2001,0,,,55,73,36
11/17/2001,0,,,58,73,42
11/18/2001,0.01,,,57,73,41
11/19/2001,0.27,,,51,62,39
11/20/2001,0,,,38,48,27
11/21/2001,0,,,40,57,23
11/22/2001,0,,,46,61,30
11/23/2001,0.01,,,56,66,46
11/24/2001,1.65,,,64,70,57
11/25/2001,0,,,53,64,41
11/26/2001,0.51,,,53,69,36
11/27/2001,2.32,,,56,67,45
11/28/2001,1.3,,,44,47,41
11/29/2001,3.25,,,56,64,47
11/30/2001,0,,,42,47,37
12/1/2001,0,,,45,56,34
12/2/2001,0.01,,,48,61,34
12/3/2001,0,,,51,69,33
12/4/2001,0,,,61,72,50
12/5/2001,0,,,62,74,49
12/6/2001,0.34,,,59,64,54
12/7/2001,0.27,,,55,62,47
12/8/2001,0.59,,,50,60,39
12/9/2001,0,,,40,46,34
12/10/2001,0.01,,,38,46,30
12/11/2001,0,,,43,56,29
12/12/2001,1.73,,,54,60,47
12/13/2001,0.36,,,59,62,55
12/14/2001,0.01,,,53,60,46
12/15/2001,0,,,47,53,40
12/16/2001,0.49,,,56,64,47
12/17/2001,0.21,,,55,64,45
12/18/2001,0.01,,,45,54,35
12/19/2001,0.02,,,40,49,31
12/20/2001,0,,,36,49,23
12/21/2001,0,,,40,54,25
12/22/2001,0.52,,,48,61,34
12/23/2001,0.15,,,40,48,32
12/24/2001,0,,,32,39,24
12/25/2001,0,,,25,32,18
12/26/2001,0,,,24,34,14
12/27/2001,0,,,31,42,20
12/28/2001,0,,,37,50,24
12/29/2001,0,,,30,42,17
12/30/2001,0,,,22,31,13
12/31/2001,0,,,23,31,14
1/1/2002,0,,,21,30,11
1/2/2002,0,,,25,36,13
1/3/2002,0,,,26,34,17
1/4/2002,0,,,26,40,12
1/5/2002,0.05,,,38,49,26
1/6/2002,0.11,,,34,37,31
1/7/2002,0,,,30,36,23
1/8/2002,0,,,34,46,21
1/9/2002,0,,,49,62,36
1/10/2002,0.16,,,50,56,44
1/11/2002,0,,,37,47,27
1/12/2002,0,,,37,52,22
1/13/2002,0,,,39,52,26
1/14/2002,0,,,47,57,37
1/15/2002,0,,,38,48,28
1/16/2002,0,,,39,54,24
1/17/2002,0,,,41,51,30
1/18/2002,0.28,,,30,37,23
1/19/2002,0.15,,,34,35,32
1/20/2002,0,,,37,42,31
1/21/2002,0,,,42,53,30
1/22/2002,1.18,,,43,59,26
1/23/2002,0.52,,,57,69,45
1/24/2002,1.28,,,53,69,36
1/25/2002,0,,,37,47,27
1/26/2002,0.01,,,40,57,22
1/27/2002,0,,,44,61,27
1/28/2002,0,,,53,66,40
1/29/2002,0,,,67,71,62
1/30/2002,0,,,66,73,59
1/31/2002,0.74,,,66,72,59
2/1/2002,0.08,,,46,59,33
2/2/2002,0,,,34,43,25
2/3/2002,0,,,39,44,33
2/4/2002,0,,,30,36,24
2/5/2002,0,,,29,35,23
2/6/2002,0.04,,,33,35,31
2/7/2002,0.07,,,41,50,32
2/8/2002,0,,,42,57,26
2/9/2002,0,,,47,63,30
2/10/2002,0.09,,,47,55,38
2/11/2002,0,,,38,47,28
2/12/2002,0,,,42,55,28
2/13/2002,0,,,36,45,26
2/14/2002,0,,,35,50,19
2/15/2002,0.01,,,48,59,37
2/16/2002,0,,,44,58,30
2/17/2002,0,,,40,51,29
2/18/2002,0,,,42,61,22
2/19/2002,0.37,,,53,64,42
2/20/2002,0.09,,,55,65,45
2/21/2002,0,,,48,59,36
2/22/2002,0,,,37,44,29
2/23/2002,0,,,36,50,22
2/24/2002,0,,,46,65,27
2/25/2002,0.49,,,52,66,37
2/26/2002,0.01,,,28,37,18
2/27/2002,0,,,22,28,16
2/28/2002,0,,,31,44,17
3/1/2002,0,,,39,53,24
3/2/2002,0.18,,,44,57,30
3/3/2002,0,,,25,31,19
3/4/2002,0,,,23,34,12
3/5/2002,0,,,42,58,25
3/6/2002,0,,,50,63,37
3/7/2002,0,,,60,71,49
3/8/2002,0,,,64,75,53
3/9/2002,0.41,,,49,66,32
3/10/2002,0,,,37,49,25
3/11/2002,0.1,,,43,60,26
3/12/2002,0.03,,,48,54,42
3/13/2002,0,,,54,62,45
3/14/2002,0.04,,,0,,
3/15/2002,0.24,,,61,73,49
3/16/2002,0.59,,,47,49,44
3/17/2002,1.37,,,52,59,45
3/18/2002,0.09,,,55,56,53
3/19/2002,0.21,,,56,61,51
3/20/2002,1.05,,,51,56,45
3/21/2002,0,,,40,54,25
3/22/2002,0,,,29,39,19
3/23/2002,0,,,39,56,21
3/24/2002,0,,,52,70,33
3/25/2002,0.06,,,62,73,50
3/26/2002,1.02,,,44,53,35
3/27/2002,0,,,40,47,33
3/28/2002,0,,,51,72,30
3/29/2002,0.02,,,65,80,50
3/30/2002,0.03,,,50,58,42
3/31/2002,0.99,,,49,57,41
4/1/2002,0,,,51,66,35
4/2/2002,0,,,64,81,47
4/3/2002,0.01,,,41,49,32
4/4/2002,0,,,42,53,31
4/5/2002,0,,,43,56,29
4/6/2002,0,,,44,56,31
4/7/2002,0,,,51,71,31
4/8/2002,0.41,,,66,73,59
4/9/2002,0.02,,,56,64,48
4/10/2002,0,,,56,69,43
4/11/2002,0,,,63,78,47
4/12/2002,0.16,,,69,75,62
4/13/2002,1.2,,,67,75,59
4/14/2002,0.86,,,68,76,60
4/15/2002,0,,,74,86,62
4/16/2002,0,,,75,86,63
4/17/2002,0,,,75,85,64
4/18/2002,0,,,76,89,62
4/19/2002,0.01,,,77,83,70
4/20/2002,0,,,77,85,68
4/21/2002,0.2,,,72,85,59
4/22/2002,0,,,56,67,45
4/23/2002,0,,,55,67,43
4/24/2002,1.82,,,64,73,54
4/25/2002,0,,,53,62,43
4/26/2002,0,,,53,62,43
4/27/2002,0.07,,,64,75,52
4/28/2002,0.23,,,67,84,49
4/29/2002,0,,,56,69,42
4/30/2002,0.93,,,61,74,47
5/1/2002,0.08,,,70,77,62
5/2/2002,0.16,,,64,76,51
5/3/2002,0.12,,,55,61,48
5/4/2002,0.13,,,60,69,50
5/5/2002,0.01,,,65,78,51
5/6/2002,0.13,,,72,82,62
5/7/2002,0.09,,,75,82,68
5/8/2002,0,,,76,84,67
5/9/2002,0.25,,,64,75,53
5/10/2002,0,,,57,63,51
5/11/2002,0,,,69,85,52
5/12/2002,0.01,,,76,82,70
5/13/2002,0.3,,,59,72,45
5/14/2002,0.05,,,57,70,44
5/15/2002,0.02,,,60,74,46
5/16/2002,0.02,,,70,78,61
5/17/2002,0.04,,,60,70,49
5/18/2002,0.02,,,52,60,44
5/19/2002,0.02,,,52,65,39
5/20/2002,0,,,56,65,47
5/21/2002,0,,,54,63,44
5/22/2002,0,,,55,70,39
5/23/2002,0,,,63,77,48
5/24/2002,0,,,67,81,53
5/25/2002,1.08,,,69,82,56
5/26/2002,0.04,,,68,75,60
5/27/2002,0.01,,,73,84,61
5/28/2002,0.65,,,73,81,64
5/29/2002,0.13,,,73,82,64
5/30/2002,0,,,75,84,65
5/31/2002,0,,,75,86,63
6/1/2002,0,,,76,87,65
6/2/2002,0,,,80,89,70
6/3/2002,0,,,80,90,69
6/4/2002,0,,,81,91,71
6/5/2002,0.15,,,79,88,70
6/6/2002,0.3,,,67,76,58
6/7/2002,0,,,69,80,57
6/8/2002,0.01,,,74,87,60
6/9/2002,0,,,76,85,67
6/10/2002,0,,,76,86,65
6/11/2002,0,,,77,85,69
6/12/2002,0.08,,,81,89,72
6/13/2002,0.1,,,79,86,71
6/14/2002,0,,,70,79,61
6/15/2002,0,,,69,80,58
6/16/2002,0,,,69,80,57
6/17/2002,0,,,69,82,55
6/18/2002,0,,,71,86,56
6/19/2002,0,,,75,87,62
6/20/2002,0,,,77,90,63
6/21/2002,0,,,79,91,66
6/22/2002,0,,,76,89,62
6/23/2002,0,,,76,88,63
6/24/2002,0,,,80,90,69
6/25/2002,0,,,79,88,70
6/26/2002,0,,,80,89,70
6/27/2002,0,,,77,84,70
6/28/2002,,,,76,83,69
6/29/2002,,,,78,89,67
6/30/2002,,,,80,92,68
7/1/2002,0,,,82,94,69
7/2/2002,0,,,81,92,70
7/3/2002,0.34,,,,,
7/4/2002,0.01,,,80,93,67
7/5/2002,0,,,83,94,71
7/6/2002,0,,,78,90,65
7/7/2002,0,,,76,90,62
7/8/2002,0,,,78,91,65
7/9/2002,,,,80,89,70
7/10/2002,0.46,,,82,92,72
7/11/2002,0,,,79,85,72
7/12/2002,0.23,,,76,84,68
7/13/2002,0.31,,,75,83,67
7/14/2002,0,,,74,84,64
7/15/2002,0.01,,,76,87,65
7/16/2002,0,,,77,87,67
7/17/2002,0,,,79,86,71
7/18/2002,0.44,,,78,86,69
7/19/2002,0.01,,,77,86,68
7/20/2002,0,,,79,89,69
7/21/2002,0.12,,,82,92,71
7/22/2002,0,,,80,90,70
7/23/2002,0.46,,,79,88,69
7/24/2002,0,,,77,86,68
7/25/2002,0.01,,,79,90,67
7/26/2002,0,,,81,89,73
7/27/2002,0,,,83,91,75
7/28/2002,0,,,83,92,73
7/29/2002,0.39,,,83,91,74
7/30/2002,0.33,,,79,87,70
7/31/2002,0.01,,,79,89,68
8/1/2002,0,,,82,93,70
8/2/2002,0,,,80,93,67
8/3/2002,0,,,82,96,68
8/4/2002,0,,,84,97,70
8/5/2002,0.26,,,84,97,70
8/6/2002,0,,,79,90,67
8/7/2002,0,,,73,86,60
8/8/2002,0,,,72,89,54
8/9/2002,0,,,74,91,56
8/10/2002,0,,,78,94,61
8/11/2002,0.37,,,76,84,67
8/12/2002,0,,,79,91,66
8/13/2002,0.43,,,79,89,69
8/14/2002,0.55,,,79,88,70
8/15/2002,0,,,77,86,68
8/16/2002,0.23,,,77,80,73
8/17/2002,0.3,,,80,88,71
8/18/2002,0,,,80,89,70
8/19/2002,0,,,80,90,70
8/20/2002,0.13,,,81,90,71
8/21/2002,0,,,81,93,69
8/22/2002,0,,,82,94,70
8/23/2002,0.01,,,82,92,72
8/24/2002,0.01,,,80,88,71
8/25/2002,0.25,,,77,87,66
8/26/2002,0.01,,,75,86,63
8/27/2002,0,,,76,86,65
8/28/2002,0,,,75,85,65
8/29/2002,0,,,76,88,63
8/30/2002,0,,,77,90,64
8/31/2002,0.08,,,78,89,67
9/1/2002,0.01,,,77,89,65
9/2/2002,0.01,,,79,92,66
9/3/2002,0,,,80,94,66
9/4/2002,0,,,80,94,65
9/5/2002,0,,,75,92,58
9/6/2002,0,,,75,95,55
9/7/2002,0,,,81,95,67
9/8/2002,0,,,78,93,63
9/9/2002,0,,,82,96,67
9/10/2002,0,,,81,97,64
9/11/2002,0,,,75,88,61
9/12/2002,0,,,70,86,54
9/13/2002,0,,,73,88,57
9/14/2002,0.55,,,78,85,70
9/15/2002,0.81,,,78,88,67
9/16/2002,0.01,,,73,81,64
9/17/2002,1.19,,,75,81,68
9/18/2002,0.01,,,78,88,68
9/19/2002,0,,,80,88,72
9/20/2002,0.44,,,74,85,63
9/21/2002,0.18,,,69,77,60
9/22/2002,0.08,,,66,78,54
9/23/2002,0.03,,,61,74,48
9/24/2002,0.01,,,61,77,44
9/25/2002,0.14,,,64,69,58
9/26/2002,6.66,,,65,67,63
9/27/2002,0.47,,,71,79,62
9/28/2002,0.01,,,70,81,58
9/29/2002,0,,,68,82,53
9/30/2002,0.01,,,72,81,62
10/1/2002,0.07,,,72,77,66
10/2/2002,0.01,,,77,86,67
10/3/2002,0,,,76,84,67
10/4/2002,0.77,,,74,82,66
10/5/2002,0,,,62,72,52
10/6/2002,0.11,,,62,76,48
10/7/2002,0,,,57,65,49
10/8/2002,0,,,60,72,47
10/9/2002,0.42,,,62,68,56
10/10/2002,2.48,,,63,67,59
10/11/2002,0.06,,,70,73,66
10/12/2002,0,,,68,75,60
10/13/2002,0.01,,,54,64,43
10/14/2002,0,,,52,64,40
10/15/2002,0.04,,,53,59,47
10/16/2002,0,,,52,60,43
10/17/2002,0,,,51,61,40
10/18/2002,0,,,54,69,38
10/19/2002,0.56,,,57,63,51
10/20/2002,0.02,,,54,58,49
10/21/2002,0,,,54,64,43
10/22/2002,0,,,53,68,38
10/23/2002,0,,,55,67,42
10/24/2002,0.01,,,57,64,50
10/25/2002,0.09,,,62,66,57
10/26/2002,0,,,59,63,54
10/27/2002,0,,,56,60,52
10/28/2002,0.16,,,57,64,50
10/29/2002,0.51,,,58,69,46
10/30/2002,0.01,,,47,49,45
10/31/2002,0,,,48,51,45
11/1/2002,0,,,41,49,32
11/2/2002,0.02,,,38,48,28
11/3/2002,0.11,,,43,46,39
11/4/2002,0,,,47,49,44
11/5/2002,1.01,,,49,52,46
11/6/2002,0.01,,,41,47,34
11/7/2002,0,,,46,62,29
11/8/2002,0,,,54,68,39
11/9/2002,0.23,,,63,70,56
11/10/2002,0.75,,,67,80,53
11/11/2002,0,,,54,64,44
11/12/2002,0,,,41,44,37
11/13/2002,0,,,45,60,30
11/14/2002,0,,,48,60,36
11/15/2002,0.69,,,46,51,41
11/16/2002,0,,,37,41,33
11/17/2002,0,,,36,44,28
11/18/2002,0.02,,,46,62,29
11/19/2002,0.01,,,49,60,37
11/20/2002,0,,,45,55,34
11/21/2002,0.01,,,51,62,40
11/22/2002,0,,,35,42,28
11/23/2002,0,,,40,56,24
11/24/2002,0,,,50,65,35
11/25/2002,0.02,,,40,44,36
11/26/2002,0.08,,,33,37,28
11/27/2002,0,,,33,36,30
